,,,,SpecCodeHeader,SpecDescriptionHeader,SpecQuantityHeader,SpecAreasHeader,SpecColorModelHeader,SpecFinishHeader,SpecDimensionsHeader,SpecImageHeader,SpecUnitPriceHeader,SpecType,SpecCode,SpecDescription,SpecQuantity,SpecAreas,SpecColor,SpecFinish,SpecDimensions,UnitPrice,textBox3,textBox2,textBox5,textBox6,NotesTextBox,textBox1,SpecTypeBudget,TotalBudget
,,,No Items,CODE,DESCRIPTION,QTY,AREAS,"COLOR, MODEL",FINISH,DIMS,IMAGE,UNIT COST $,BANQUETTE,BQ-01,Custom Banquette,5,Bar Lounge Rooftop Bar,Custom,"FA-01, FA-01, WD-01","34""H x 28""D x 12'L",,VENDOR:,BY FABRICATOR,MANUFACTURER:,,"Refer to custom drawings for stitching details, nail head locations and dimensions.",NOTES:,BANQUETTE TOTAL: $0.00,"TOTAL BUDGET: $185,120.00"
,,,No Items,CODE,DESCRIPTION,QTY,AREAS,"COLOR, MODEL",FINISH,DIMS,IMAGE,UNIT COST $,CHAIR,CH-01,Spindle Side Chair,24,Surf Club Restaurant,Spindle Chair,Walnut & Brass,572mmW x 737mmH x 514mmD,"1,830.00",,,MANUFACTURER:,,GC to install nylon glides on every chair leg.,NOTES:,"CHAIR TOTAL: $59,120.00","TOTAL BUDGET: $185,120.00"
,,,No Items,CODE,DESCRIPTION,QTY,AREAS,"COLOR, MODEL",FINISH,DIMS,IMAGE,UNIT COST $,FABRIC,FA-01,Green Velvet,104 yd,,"Peacock, #6720219",100% Polyester,"57"" WideW",,,,MANUFACTURER:,,"Cal Tb 117-2013, UFAC Class I / NFPA 260, Passes ""NFPA 701"" 2010, Passes MVS 302",NOTES:,FABRIC TOTAL: $0.00,"TOTAL BUDGET: $185,120.00"
,,,No Items,CODE,DESCRIPTION,QTY,AREAS,"COLOR, MODEL",FINISH,DIMS,IMAGE,UNIT COST $,GLASS,GL-01,"1/2"" Reeded Glass",0,,Clear,Transparent,,,,,MANUFACTURER:,,"Temperable, Laminatable",NOTES:,GLASS TOTAL: $0.00,"TOTAL BUDGET: $185,120.00"
,,,No Items,CODE,DESCRIPTION,QTY,AREAS,"COLOR, MODEL",FINISH,DIMS,IMAGE,UNIT COST $,HARDWARE,HD-01,Decorative Nail Heads,0,,Brass Nail Heads,Antique Brass,,,VENDOR:,BY FABRICATOR,MANUFACTURER:,,,,HARDWARE TOTAL: $0.00,"TOTAL BUDGET: $185,120.00"
,,,No Items,CODE,DESCRIPTION,QTY,AREAS,"COLOR, MODEL",FINISH,DIMS,IMAGE,UNIT COST $,LIGHTING,LT-01,Alabaster Totem 3,12,Conference Room,Alabaster Totem 3 CEI-005,Alabaster & Brass,"16.5""H x 8.5"" DiaD","10,500.00",,,MANUFACTURER:,,"Integrated LED    13W (75W Equivalent) LED approx. 1200 Total Lumen Output 2700K / 80 CRI Integrated LED / Dimmable / 120 Volt 240V available upon request Certifid cUL Damp Locations MATERIALS: Alabaster Stone, Machined Brass, Machined Aluminum WEIGHT: 55 lbs",NOTES:,"LIGHTING TOTAL: $126,000.00","TOTAL BUDGET: $185,120.00"
,,,No Items,CODE,DESCRIPTION,QTY,AREAS,"COLOR, MODEL",FINISH,DIMS,IMAGE,UNIT COST $,PAINT,PT-01,Pale Green Paint,0,,"Sherwood Green, HC-118",Eggshell,,,,,MANUFACTURER:,,GC to prepare sample swatch for designer approval,NOTES:,PAINT TOTAL: $0.00,"TOTAL BUDGET: $185,120.00"
,,,No Items,CODE,DESCRIPTION,QTY,AREAS,"COLOR, MODEL",FINISH,DIMS,IMAGE,UNIT COST $,STONE,ST-01,White Marble,0,Bar Lounge,"white / grey, Calacatta Marble",Polished,,,,,MANUFACTURER:,,Refer to dwgs for dims and location. To be used on bar counter top. Refer to bullnoose edge detail in dwgs To be sealed with matte clear finish,NOTES:,STONE TOTAL: $0.00,"TOTAL BUDGET: $185,120.00"
,,,No Items,CODE,DESCRIPTION,QTY,AREAS,"COLOR, MODEL",FINISH,DIMS,IMAGE,UNIT COST $,WOOD,WD-01,Walnut,0,,Oiled Walnut,Clear Matte Oil Finish,,,,,MANUFACTURER:,,GC to provide finish samples for designer approval,NOTES:,WOOD TOTAL: $0.00,"TOTAL BUDGET: $185,120.00"
